Seq_id	Size	Description
130	20446	Anc0.Anc0refChr75
132	4984	Anc0.Anc0refChr68
134	32180	Anc0.Anc0refChr69
135	26420	Anc0.Anc0refChr314
136	5774	Anc0.Anc0refChr53
137	48539	Anc0.Anc0refChr77
138	76621	Anc0.Anc0refChr290
139	10798	Anc0.Anc0refChr125
140	36658	Anc0.Anc0refChr32
141	15501	Anc0.Anc0refChr16
144	839	Anc0.Anc0refChr320
146	2359	Anc0.Anc0refChr24
148	39374	Anc0.Anc0refChr135
150	27076	Anc0.Anc0refChr267
155	3084	Anc0.Anc0refChr67
156	60164	Anc0.Anc0refChr13
159	19648	Anc0.Anc0refChr272
160	28489	Anc0.Anc0refChr329
161	3397	Anc0.Anc0refChr19
162	25257	Anc0.Anc0refChr217
163	3554	Anc0.Anc0refChr170
164	62057	Anc0.Anc0refChr100
165	1111	Anc0.Anc0refChr123
167	3250	Anc0.Anc0refChr73
168	24146	Anc0.Anc0refChr270
169	4600755	Yersinia_pestis_KIM_10.Yersinia_pestis_KIM_10.Chr
170	59900	Anc0.Anc0refChr309
171	5010	Anc0.Anc0refChr127
172	5830	Anc0.Anc0refChr316
174	4534590	Yersinia_pestis_Nepal516.Yersinia_pestis_Nepal516.Chr
175	12510	Anc0.Anc0refChr263
176	17822	Anc0.Anc0refChr268
177	39382	Anc0.Anc0refChr21
178	18319	Anc0.Anc0refChr42
179	120107	Anc0.Anc0refChr183
180	38626	Anc0.Anc0refChr215
181	27804	Anc0.Anc0refChr176
182	40029	Anc0.Anc0refChr76
183	11507	Anc0.Anc0refChr37
184	28321	Anc0.Anc0refChr63
187	1589	Anc0.Anc0refChr54
189	44212	Anc0.Anc0refChr195
190	6150	Anc0.Anc0refChr297
191	2475	Anc0.Anc0refChr126
192	69693	Anc0.Anc0refChr293
193	4702289	Yersinia_pestis_Antiqua.Yersinia_pestis_Antiqua.Chr
194	59726	Anc0.Anc0refChr315
196	45815	Anc0.Anc0refChr332
201	6682	Anc0.Anc0refChr95
203	2421	Anc0.Anc0refChr214
206	7541	Anc0.Anc0refChr15
207	1338	Anc0.Anc0refChr72
208	14413	Anc0.Anc0refChr104
211	3992	Anc0.Anc0refChr276
216	12668	Anc0.Anc0refChr317
217	24619	Anc0.Anc0refChr43
220	24363	Anc0.Anc0refChr113
221	25789	Anc0.Anc0refChr8
222	1530	Anc0.Anc0refChr92
223	1427	Anc0.Anc0refChr143
225	10858	Anc0.Anc0refChr216
227	3322	Anc0.Anc0refChr227
228	15754	Anc0.Anc0refChr212
230	16963	Anc0.Anc0refChr41
231	3829	Anc0.Anc0refChr94
232	9475	Anc0.Anc0refChr97
234	16228	Anc0.Anc0refChr74
235	69677	Anc0.Anc0refChr36
236	2590	Anc0.Anc0refChr70
237	9300	Anc0.Anc0refChr279
240	64437	Anc0.Anc0refChr49
241	5882	Anc0.Anc0refChr20
242	10341	Anc0.Anc0refChr219
243	5805	Anc0.Anc0refChr18
246	11139	Anc0.Anc0refChr52
247	69154	Anc0.Anc0refChr85
249	2435	Anc0.Anc0refChr218
250	4553586	Yersinia_pestis_Z176003.Yersinia_pestis_Z176003.Chr
251	29374	Anc0.Anc0refChr323
252	2452	Anc0.Anc0refChr5
253	47791	Anc0.Anc0refChr120
254	79144	Anc0.Anc0refChr22
255	5883	Anc0.Anc0refChr222
257	41699	Anc0.Anc0refChr51
259	1750	Anc0.Anc0refChr79
261	19577	Anc0.Anc0refChr313
262	1288	Anc0.Anc0refChr122
265	43342	Anc0.Anc0refChr280
266	1214	Anc0.Anc0refChr180
267	1912	Anc0.Anc0refChr45
268	41989	Anc0.Anc0refChr307
269	973	Anc0.Anc0refChr44
270	601	Anc0.Anc0refChr98
271	19402	Anc0.Anc0refChr105
272	971	Anc0.Anc0refChr275
273	9595	Anc0.Anc0refChr3
274	7097	Anc0.Anc0refChr55
277	78596	Anc0.Anc0refChr59
278	52598	Anc0.Anc0refChr282
279	43522	Anc0.Anc0refChr301
280	49227	Anc0.Anc0refChr46
281	9273	Anc0.Anc0refChr223
282	4653728	Yersinia_pestis_CO92.Yersinia_pestis_CO92.Chr
284	2999	Anc0.Anc0refChr177
289	25612	Anc0.Anc0refChr220
290	17908	Anc0.Anc0refChr269
291	7863	Anc0.Anc0refChr2
292	27818	Anc0.Anc0refChr295
294	873	Anc0.Anc0refChr99
295	9377	Anc0.Anc0refChr182
296	7792	Anc0.Anc0refChr299
297	1945	Anc0.Anc0refChr308
298	32059	Anc0.Anc0refChr28
300	10253	Anc0.Anc0refChr132
301	15924	Anc0.Anc0refChr318
302	31314	Anc0.Anc0refChr211
303	2140	Anc0.Anc0refChr114
304	11326	Anc0.Anc0refChr271
305	37011	Anc0.Anc0refChr185
306	46607	Anc0.Anc0refChr50
307	26010	Anc0.Anc0refChr331
308	11617	Anc0.Anc0refChr191
309	1738	Anc0.Anc0refChr192
311	61941	Anc0.Anc0refChr144
312	20474	Anc0.Anc0refChr96
313	1514	Anc0.Anc0refChr174
314	6813	Anc0.Anc0refChr60
315	19037	Anc0.Anc0refChr298
316	1723	Anc0.Anc0refChr31
317	15089	Anc0.Anc0refChr213
319	36788	Anc0.Anc0refChr187
322	17163	Anc0.Anc0refChr38
323	9875	Anc0.Anc0refChr172
324	5905	Anc0.Anc0refChr136
327	5710	Anc0.Anc0refChr273
328	5623	Anc0.Anc0refChr325
329	4895	Anc0.Anc0refChr108
330	7522	Anc0.Anc0refChr178
332	14683	Anc0.Anc0refChr25
--------------------------------------------------------------------------------
Block #452
Seq_id	Strand	Start	End	Length
193	+	3383152	3393012	9860
250	-	861379	851427	9952
282	-	809786	799827	9959
--------------------------------------------------------------------------------
Block #451
Seq_id	Strand	Start	End	Length
193	+	3094684	3096637	1953
193	-	3187769	3185816	1953
193	-	4218182	4216229	1953
250	+	2778502	2780455	1953
250	+	2882806	2884759	1953
250	+	3712946	3714899	1953
250	-	4135086	4133133	1953
282	+	2826179	2828132	1953
282	-	3484449	3482498	1951
282	+	3662695	3664648	1953
282	+	3950381	3952334	1953
282	-	4136712	4134759	1953
282	-	4521996	4520043	1953
--------------------------------------------------------------------------------
Block #450
Seq_id	Strand	Start	End	Length
193	+	1234105	1234832	727
250	+	1370358	1371085	727
250	+	1392438	1393165	727
282	+	1321121	1321848	727
--------------------------------------------------------------------------------
Block #449
Seq_id	Strand	Start	End	Length
193	+	694789	696752	1963
193	+	1191057	1193011	1954
250	+	1327250	1329213	1963
282	+	1278053	1280016	1963
--------------------------------------------------------------------------------
Block #448
Seq_id	Strand	Start	End	Length
174	+	3184726	3195090	10364
193	-	1234105	1223741	10364
242	-	10337	0	10337
250	-	1370358	1359994	10364
282	-	1321121	1310784	10337
--------------------------------------------------------------------------------
Block #447
Seq_id	Strand	Start	End	Length
174	+	2071453	2072528	1075
193	+	1934165	1935240	1075
240	+	63362	64437	1075
250	-	1953395	1952320	1075
282	+	2673000	2674075	1075
--------------------------------------------------------------------------------
Block #446
Seq_id	Strand	Start	End	Length
169	+	4413769	4439561	25792
174	-	4427587	4401795	25792
189	+	17185	43025	25840
193	-	3635471	3609700	25771
250	+	189674	215466	25792
282	+	192665	218457	25792
--------------------------------------------------------------------------------
Block #445
Seq_id	Strand	Start	End	Length
169	+	4396632	4412559	15927
174	-	4444760	4428797	15963
189	+	0	15936	15936
193	-	3652590	3636681	15909
250	+	172537	188464	15927
282	+	173569	189496	15927
--------------------------------------------------------------------------------
Block #444
Seq_id	Strand	Start	End	Length
169	+	4356058	4395243	39185
174	-	4485351	4446149	39202
193	-	3693199	3653979	39220
250	+	131946	171148	39202
279	+	4338	43522	39184
282	+	132978	172180	39202
--------------------------------------------------------------------------------
Block #443
Seq_id	Strand	Start	End	Length
169	+	4351720	4356058	4338
174	-	4491648	4487320	4328
193	-	3697537	3693199	4338
250	+	127608	131946	4338
279	+	0	4338	4338
282	+	128640	132978	4338
--------------------------------------------------------------------------------
Block #442
Seq_id	Strand	Start	End	Length
169	+	4285597	4299974	14377
174	-	4159016	4144603	14413
193	-	4284001	4269588	14413
208	+	0	14413	14413
250	+	2816977	2831390	14413
282	-	4483521	4469108	14413
--------------------------------------------------------------------------------
Block #441
Seq_id	Strand	Start	End	Length
169	+	4266471	4283634	17163
174	-	4178142	4160979	17163
193	-	4303127	4285964	17163
250	+	2797845	2815014	17169
282	-	4502653	4485484	17169
322	+	0	17163	17163
--------------------------------------------------------------------------------
Block #440
Seq_id	Strand	Start	End	Length
169	+	4249092	4265750	16658
174	-	4195522	4178863	16659
193	-	4321216	4303848	17368
250	+	2780466	2797124	16658
277	+	61938	78596	16658
282	-	4520032	4503374	16658
--------------------------------------------------------------------------------
Block #439
Seq_id	Strand	Start	End	Length
169	+	4213993	4217562	3569
174	-	325804	322235	3569
193	+	4385468	4389037	3569
211	-	3569	0	3569
250	-	460096	456527	3569
282	-	406596	403027	3569
--------------------------------------------------------------------------------
Block #438
Seq_id	Strand	Start	End	Length
169	+	4149714	4213206	63492
174	-	388092	326591	61501
193	+	4323185	4384681	61496
250	-	522376	460883	61493
277	-	61938	406	61532
282	-	468883	407383	61500
--------------------------------------------------------------------------------
Block #437
Seq_id	Strand	Start	End	Length
169	+	4138188	4149714	11526
174	-	399618	388092	11526
183	-	11507	0	11507
193	-	4558652	4547121	11531
250	-	533907	522376	11531
282	-	480414	468883	11531
--------------------------------------------------------------------------------
Block #436
Seq_id	Strand	Start	End	Length
169	+	4109032	4137889	28857
170	-	28857	0	28857
174	-	428773	399917	28856
193	-	4587807	4558951	28856
250	-	563064	534206	28858
282	-	509570	480713	28857
--------------------------------------------------------------------------------
Block #435
Seq_id	Strand	Start	End	Length
169	+	4084890	4108128	23238
170	-	53042	29804	23238
174	-	452915	429677	23238
193	-	4611949	4588711	23238
250	-	587206	563968	23238
282	-	533712	510474	23238
--------------------------------------------------------------------------------
Block #434
Seq_id	Strand	Start	End	Length
169	+	4078207	4082826	4619
170	-	59900	55281	4619
174	-	459598	454979	4619
193	+	4022756	4027375	4619
250	-	593889	589270	4619
282	-	540395	535776	4619
--------------------------------------------------------------------------------
Block #433
Seq_id	Strand	Start	End	Length
169	+	4074980	4076407	1427
174	-	462825	461398	1427
193	+	4019538	4020956	1418
223	-	1427	0	1427
250	-	597116	595689	1427
282	-	543622	542195	1427
--------------------------------------------------------------------------------
Block #432
Seq_id	Strand	Start	End	Length
169	+	4054760	4074672	19912
174	-	483045	463133	19912
193	+	3999334	4019230	19896
250	-	617335	597424	19911
282	-	563841	543930	19911
312	-	19912	0	19912
--------------------------------------------------------------------------------
Block #431
Seq_id	Strand	Start	End	Length
169	+	3852194	3863793	11599
174	-	679892	668275	11617
184	-	11581	0	11581
193	+	3423095	3434675	11580
250	-	822574	810993	11581
282	-	771029	759448	11581
--------------------------------------------------------------------------------
Block #430
Seq_id	Strand	Start	End	Length
169	+	3849483	3851547	2064
174	-	682603	680539	2064
184	-	14314	12250	2064
193	+	3420383	3422448	2065
250	-	825285	823221	2064
282	-	773740	771676	2064
--------------------------------------------------------------------------------
Block #429
Seq_id	Strand	Start	End	Length
169	+	3844337	3848849	4512
174	-	687749	683237	4512
184	-	19588	15076	4512
193	+	3413278	3419749	6471
250	-	830431	825919	4512
282	-	778886	774374	4512
--------------------------------------------------------------------------------
Block #428
Seq_id	Strand	Start	End	Length
169	+	3840532	3843539	3007
174	-	691554	688547	3007
184	-	23433	20426	3007
193	+	3409473	3412480	3007
250	-	834236	831229	3007
282	-	782637	779684	2953
--------------------------------------------------------------------------------
Block #427
Seq_id	Strand	Start	End	Length
169	+	3835978	3839638	3660
174	-	696108	692448	3660
184	-	28321	24661	3660
193	+	3404919	3408579	3660
250	-	839501	835130	4371
282	-	787902	783531	4371
--------------------------------------------------------------------------------
Block #426
Seq_id	Strand	Start	End	Length
169	+	3828609	3834508	5899
174	-	703477	697578	5899
193	+	3397550	3403449	5899
216	-	11332	5433	5899
250	-	846871	840972	5899
282	-	795271	789372	5899
--------------------------------------------------------------------------------
Block #425
Seq_id	Strand	Start	End	Length
169	+	3827285	3828605	1320
174	-	704819	703481	1338
193	+	3393033	3394352	1319
193	+	3394521	3395834	1313
193	+	3396235	3397546	1311
216	-	12665	11336	1329
250	-	848204	846875	1329
250	-	849918	848605	1313
250	-	851406	850087	1319
282	-	796604	795275	1329
282	-	798318	797005	1313
282	-	799806	798487	1319
--------------------------------------------------------------------------------
Block #424
Seq_id	Strand	Start	End	Length
169	+	3819953	3825809	5856
172	-	5830	0	5830
174	-	3610740	3604885	5855
193	+	3780567	3786397	5830
250	+	946089	951919	5830
282	-	817063	811233	5830
--------------------------------------------------------------------------------
Block #423
Seq_id	Strand	Start	End	Length
169	+	3815829	3819658	3829
174	-	3614864	3611035	3829
193	+	3776179	3780272	4093
231	-	3829	0	3829
250	+	941701	945794	4093
282	-	821451	817358	4093
--------------------------------------------------------------------------------
Block #422
Seq_id	Strand	Start	End	Length
169	+	3814223	3815753	1530
174	-	3616470	3614940	1530
193	+	3774549	3776103	1554
222	-	1530	0	1530
250	+	940095	941625	1530
282	-	823057	821527	1530
--------------------------------------------------------------------------------
Block #421
Seq_id	Strand	Start	End	Length
169	+	3812002	3812603	601
174	-	3618691	3618090	601
193	+	3772328	3772929	601
250	+	937874	938475	601
270	-	601	0	601
282	-	825278	824677	601
--------------------------------------------------------------------------------
Block #420
Seq_id	Strand	Start	End	Length
169	+	3787179	3803406	16227
174	-	3643515	3627287	16228
193	+	3751959	3768158	16199
234	-	16228	0	16228
250	+	913037	929278	16241
282	-	845689	829448	16241
--------------------------------------------------------------------------------
Block #419
Seq_id	Strand	Start	End	Length
169	+	3779448	3780786	1338
174	-	3651247	3649909	1338
193	+	3744209	3745547	1338
207	-	1338	0	1338
250	+	905287	906625	1338
282	-	853439	852101	1338
--------------------------------------------------------------------------------
Block #418
Seq_id	Strand	Start	End	Length
169	+	3775993	3778583	2590
174	-	3654702	3652112	2590
193	+	3740754	3743344	2590
236	-	2590	0	2590
250	+	901832	904422	2590
282	-	856894	854304	2590
--------------------------------------------------------------------------------
Block #417
Seq_id	Strand	Start	End	Length
169	+	3750493	3751773	1280
169	+	3752311	3753594	1283
169	+	3754132	3755424	1292
169	+	3755959	3757188	1229
174	-	3674745	3673516	1229
174	-	3676572	3675280	1292
174	-	3678393	3677110	1283
174	-	3680211	3678931	1280
193	+	3714543	3715823	1280
193	+	3716361	3717644	1283
193	+	3718182	3719474	1292
193	+	3720009	3721238	1229
250	+	876334	877614	1280
250	+	878152	879435	1283
250	+	879973	881265	1292
250	+	881800	883029	1229
273	-	1983	394	1589
282	+	1122419	1123699	1280
282	+	1124237	1125520	1283
282	+	1126058	1127350	1292
282	+	1127885	1129114	1229
--------------------------------------------------------------------------------
Block #416
Seq_id	Strand	Start	End	Length
169	+	3742945	3750339	7394
174	-	3687775	3680365	7410
193	+	3706979	3714389	7410
250	+	868770	876180	7410
273	-	9595	2185	7410
282	+	1114855	1122265	7410
--------------------------------------------------------------------------------
Block #415
Seq_id	Strand	Start	End	Length
169	+	3737082	3742482	5400
174	-	3693650	3688238	5412
193	+	3701104	3706516	5412
221	-	5412	0	5412
250	+	862895	868307	5412
282	+	1108980	1114392	5412
--------------------------------------------------------------------------------
Block #414
Seq_id	Strand	Start	End	Length
169	+	3716824	3735547	18723
174	+	3584701	3603419	18718
193	-	329423	310700	18723
221	-	25789	7066	18723
250	-	972108	953385	18723
282	+	1088717	1107445	18728
--------------------------------------------------------------------------------
Block #413
Seq_id	Strand	Start	End	Length
169	+	3715134	3715698	564
174	+	3583011	3583575	564
193	-	331113	330549	564
250	-	973798	973234	564
262	-	1288	724	564
282	+	1087027	1087591	564
--------------------------------------------------------------------------------
Block #412
Seq_id	Strand	Start	End	Length
169	+	3699682	3700665	983
174	+	3567508	3568541	1033
193	-	346555	345582	973
250	-	1740735	1739762	973
269	-	973	0	973
282	+	1071604	1072558	954
--------------------------------------------------------------------------------
Block #411
Seq_id	Strand	Start	End	Length
169	+	3644301	3691915	47614
174	+	3512149	3559741	47592
193	-	402598	354322	48276
250	-	1039603	992018	47585
253	-	47791	0	47791
282	+	1016253	1063837	47584
--------------------------------------------------------------------------------
Block #410
Seq_id	Strand	Start	End	Length
169	+	3628402	3643477	15075
174	+	3496249	3511324	15075
193	-	420457	403422	17035
250	-	1055503	1040428	15075
282	+	998394	1013469	15075
317	-	15089	0	15089
--------------------------------------------------------------------------------
Block #409
Seq_id	Strand	Start	End	Length
169	+	3619537	3628213	8676
174	+	3487360	3496060	8700
193	-	429346	420646	8700
250	-	1064392	1055692	8700
251	-	8708	0	8708
282	+	989505	998205	8700
--------------------------------------------------------------------------------
Block #198
Seq_id	Strand	Start	End	Length
156	+	38645	60164	21519
169	+	1029796	1051315	21519
174	+	958773	980292	21519
193	-	3080220	3058733	21487
250	-	3699253	3677734	21519
282	-	3648766	3627247	21519
--------------------------------------------------------------------------------
Block #197
Seq_id	Strand	Start	End	Length
156	+	32462	38110	5648
169	+	11807	17156	5349
169	+	355721	361070	5349
169	+	522184	527593	5409
169	+	565048	570397	5349
169	+	1024180	1029589	5409
169	-	3417537	3412188	5349
169	-	4246765	4241416	5349
174	+	12056	17405	5349
174	+	83783	89132	5349
174	+	250167	255576	5409
174	+	293032	298381	5349
174	+	953157	958566	5409
174	-	3286604	3281255	5349
174	-	3906706	3901357	5349
193	+	14018	19367	5349
193	+	136018	141367	5349
193	+	634006	639354	5348
193	-	3085836	3080427	5409
193	-	3834417	3828999	5418
193	-	3947814	3942464	5350
193	-	4037758	4032346	5412
250	+	12056	17405	5349
250	+	1266429	1271778	5349
250	-	3704809	3699460	5349
250	-	4227458	4222049	5409
250	-	4270324	4264915	5409
250	-	4436357	4431008	5349
282	+	12057	17406	5349
282	+	1217270	1222619	5349
282	-	3654382	3648973	5409
282	-	4180666	4175257	5409
282	-	4223530	4218121	5409
282	-	4389967	4384618	5349
--------------------------------------------------------------------------------
Block #196
Seq_id	Strand	Start	End	Length
156	+	0	32093	32093
169	-	3449863	3417770	32093
174	-	3318930	3286837	32093
193	+	600970	633773	32803
250	+	1234088	1266196	32108
282	+	1184929	1217037	32108
--------------------------------------------------------------------------------
Block #195
Seq_id	Strand	Start	End	Length
155	+	0	3084	3084
169	+	836465	839549	3084
174	+	765473	768557	3084
193	-	3274453	3271369	3084
250	-	3892636	3889552	3084
282	-	3842003	3838919	3084
--------------------------------------------------------------------------------
Block #194
Seq_id	Strand	Start	End	Length
150	+	193	27076	26883
169	+	328534	355417	26883
174	+	56596	83479	26883
193	+	108831	135714	26883
250	-	4463545	4436661	26884
282	-	4417153	4390270	26883
--------------------------------------------------------------------------------
Block #193
Seq_id	Strand	Start	End	Length
148	+	27816	39374	11558
169	+	0	11558	11558
174	+	249	11807	11558
193	+	249	13769	13520
250	+	249	11807	11558
282	+	250	11808	11558
--------------------------------------------------------------------------------
Block #192
Seq_id	Strand	Start	End	Length
148	+	9310	27567	18257
169	+	4582249	4600506	18257
174	+	4516333	4534590	18257
193	+	4684032	4702289	18257
250	+	4535329	4553586	18257
282	+	4635471	4653728	18257
--------------------------------------------------------------------------------
Block #191
Seq_id	Strand	Start	End	Length
148	+	8523	9310	787
169	-	1561110	1560370	740
169	+	4581509	4582249	740
174	-	1491032	1490292	740
174	+	4515593	4516333	740
193	+	2540524	2541264	740
193	+	4683292	4684032	740
250	-	3222271	3221531	740
250	+	4534589	4535329	740
282	+	3158935	3159675	740
282	+	4634731	4635471	740
--------------------------------------------------------------------------------
Block #190
Seq_id	Strand	Start	End	Length
148	+	966	8523	7557
169	+	4573952	4581509	7557
174	+	4508036	4515593	7557
193	+	4675736	4683292	7556
250	+	4527032	4534589	7557
282	+	4627174	4634731	7557
--------------------------------------------------------------------------------
Block #189
Seq_id	Strand	Start	End	Length
148	+	0	572	572
169	+	1519903	1520469	566
169	+	4573036	4573603	567
174	+	1449823	1450389	566
174	+	4507120	4507687	567
193	-	2583691	2583125	566
193	+	4674820	4675387	567
250	+	3181063	3181629	566
250	+	4526116	4526683	567
282	-	3200123	3199557	566
282	+	4626258	4626825	567
--------------------------------------------------------------------------------
Block #188
Seq_id	Strand	Start	End	Length
146	+	1589	2359	770
169	+	1016047	1016815	768
174	+	945022	945792	770
193	-	3094682	3093912	770
250	-	3712944	3712174	770
282	-	3662693	3661747	946
--------------------------------------------------------------------------------
Block #187
Seq_id	Strand	Start	End	Length
146	+	0	1452	1452
169	+	1012442	1013894	1452
174	+	943378	944830	1452
193	+	3184168	3185638	1470
250	-	3716547	3715077	1470
282	-	3666120	3664650	1470
--------------------------------------------------------------------------------
Block #186
Seq_id	Strand	Start	End	Length
144	+	0	790	790
169	+	1880577	1881343	766
169	+	1884134	1884900	766
169	-	3962769	3962009	760
174	-	2349819	2349053	766
174	-	2353376	2352610	766
193	-	2219681	2218915	766
193	-	2223238	2222472	766
193	-	3535670	3534910	760
250	+	711288	712048	760
250	-	2740288	2739522	766
250	-	2743845	2743079	766
282	+	657769	658529	760
282	-	2787966	2787200	766
282	-	2791523	2790757	766
--------------------------------------------------------------------------------
Block #185
Seq_id	Strand	Start	End	Length
141	+	372	15501	15129
169	-	2827288	2812198	15090
174	-	2662591	2647483	15108
193	+	1268586	1283673	15087
250	-	2520687	2505579	15108
282	+	1987450	2004517	17067
--------------------------------------------------------------------------------
Block #184
Seq_id	Strand	Start	End	Length
140	+	31492	36002	4510
169	+	627487	631997	4510
174	-	3844257	3839747	4510
193	-	4492189	4487679	4510
250	+	297711	302221	4510
282	+	301367	305877	4510
--------------------------------------------------------------------------------
Block #183
Seq_id	Strand	Start	End	Length
140	+	30599	31154	555
169	+	625842	626394	552
169	+	626604	627156	552
174	-	3845140	3844588	552
174	-	3845902	3845350	552
193	-	4493072	4492520	552
193	-	4493834	4493282	552
250	+	296066	296618	552
250	+	296828	297380	552
282	+	299011	299563	552
282	+	299773	300325	552
--------------------------------------------------------------------------------
Block #182
Seq_id	Strand	Start	End	Length
140	+	0	30413	30413
169	+	595473	625822	30349
174	-	3876271	3845922	30349
193	-	4524203	4493854	30349
250	+	265697	296046	30349
282	+	268642	298991	30349
--------------------------------------------------------------------------------
Block #181
Seq_id	Strand	Start	End	Length
139	+	6923	10798	3875
169	-	2026321	2022446	3875
174	+	2207764	2211639	3875
193	+	2071258	2075292	4034
250	+	2597148	2601023	3875
282	-	1911004	1907129	3875
--------------------------------------------------------------------------------
Block #180
Seq_id	Strand	Start	End	Length
139	+	5204	6923	1719
169	-	2027863	2026321	1542
169	-	2029714	2028178	1536
174	+	2204371	2205907	1536
174	+	2206222	2207764	1542
193	+	2067865	2069401	1536
193	+	2069716	2071258	1542
250	+	2593755	2595291	1536
250	+	2595606	2597148	1542
282	-	1912546	1911004	1542
282	-	1914397	1912861	1536
--------------------------------------------------------------------------------
Block #179
Seq_id	Strand	Start	End	Length
139	+	0	4879	4879
169	-	2034620	2029741	4879
174	+	2199465	2204344	4879
193	+	2062959	2067838	4879
250	+	2588849	2593728	4879
282	-	1919297	1914424	4873
--------------------------------------------------------------------------------
Block #178
Seq_id	Strand	Start	End	Length
138	+	72952	76621	3669
169	-	3461135	3457466	3669
174	-	3330913	3327244	3669
193	+	589698	593367	3669
250	+	1222816	1226485	3669
282	+	1173657	1177326	3669
--------------------------------------------------------------------------------
Block #177
Seq_id	Strand	Start	End	Length
138	+	68504	72952	4448
169	-	3467540	3463102	4438
174	-	3335359	3330913	4446
193	+	583292	589698	6406
250	+	1218370	1222816	4446
282	+	1169211	1173657	4446
--------------------------------------------------------------------------------
Block #176
Seq_id	Strand	Start	End	Length
138	+	67594	68504	910
169	-	2137485	2136691	794
169	-	3468331	3467540	791
174	+	2095226	2096020	794
174	-	3336150	3335359	791
193	+	582501	583292	791
193	+	1958175	1958969	794
250	+	1217579	1218370	791
250	-	1929623	1928829	794
282	+	1168420	1169211	791
282	+	2696772	2697566	794
--------------------------------------------------------------------------------
Block #175
Seq_id	Strand	Start	End	Length
138	+	47062	67590	20528
169	-	3488862	3468334	20528
174	-	3356681	3336153	20528
193	+	561970	582498	20528
250	+	1197048	1217576	20528
282	+	1147889	1168417	20528
--------------------------------------------------------------------------------
Block #174
Seq_id	Strand	Start	End	Length
138	+	0	47054	47054
169	-	3535932	3488870	47062
174	-	3403770	3356689	47081
193	+	514891	561962	47071
250	+	1148008	1195080	47072
